clause,clauseid,resid,actor,regularized_actors,sentiment_label,active_ind,recoded
"Reaffirms all its relevant resolutions on Cyprus, and in particular resolution 1251 (1999) of 29 June 1999 and subsequent resolutions;",4751,1517,SC,['Security Council'],[0],0,0
"Recalling its resolutions 2295 (2016), 2253 (2015), and 2227 (2015),",4829,2359,SC,['Security Council'],[0],0,0
"Recalling the United Nations Zero Tolerance Policy on sexual exploitation and abuse, and acknowledging the efforts carried out by the Secretary-General in this regard,",4840,2359,SG,['Secretary General'],[0],0,0
"Noting that the Government of Cyprus is agreed that in view of the prevailing conditions on the island it is necessary to keep UNFICYP beyond 15 December 2007,",4893,1789,Govt,['Government'],[0],0,0
"Recognizing the need to pay special attention to the needs of women, children and traditionally marginalized groups in the peace process, as mentioned in the Comprehensive Peace Agreement,",4918,1740,Women and children,['Women and Children'],[0],0,0
"Underscoring the need for coherent United Nations activities in the Republic of South Sudan, which requires clarity about roles, responsibilities, and collaboration between UNMISS and the United Nations country team based on their comparative advantage, and noting the need for cooperation with other relevant actors in the region, including the African Union-United Nations Hybrid Mission in Darfur (UNAMID), the United Nations Interim Security Force for Abyei (UNISFA), and the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo (MONUSCO),",4951,2057,PK,['Peacekeeping'],[0],0,0
"Recalling its resolutions 1612 (2005), 1882 (2009) and 1998 (2011), and Presidential Statements of 29 April 2009 (S/PRST/2009/9) and 16 June 2010 (S/PRST/2010/10) on children and armed conflict, and taking note of the reports of the Secretary-General on Children and Armed Conflict in Sudan dated 10 February 2009 (S/2009/84), 29 August 2007 (S/2007/520), and 5 July 2011 (S/2011/413), and the conclusions endorsed by the Security Council Working Group on Children and Armed Conflict in the Sudan (S/AC.51/2009/5),",4961,2057,SG,['Secretary General'],[0],0,0
"Reiterating its commitment to a comprehensive and lasting settlement of the situation in Somalia through the Transitional Federal Charter, and stressing the importance of broad-based and representative institutions and of an inclusive political process, as envisaged in the Transitional Federal Charter,",4999,1725,SC,['Security Council'],[0],0,0
"Reaffirming that respect for the basic principles of peacekeeping, including consent of the parties, impartiality, and non-use of force, except in self-defence and defence of the mandate, is essential to the success of peacekeeping operations,",5055,2167,PK,['Peacekeeping'],[0],0,0
"Stressing the utility of developing effective partnerships between the United Nations and regional and subregional organizations, in order to enable early responses to disputes and emerging crises and to strengthen the role of the United Nations in the prevention of conflict, and stressing that the coordination of efforts at the regional level may be necessary for the development of a comprehensive strategy to ensure effective peacekeeping activities to address threats, to international peace and security,",5060,2167,SC,['Security Council'],[0],0,0
"Recalling its request of the Secretary-General to ensure that data related to the effectiveness of peacekeeping operations, including peacekeeping performance data, is used to improve analytics and the evaluation of mission operations, based on clear and well identified benchmarks, and emphasizing the need to regularly evaluate MINURSOs performance such that the mission retains the skills and flexibility needed to effectively carry out its mandate,",5139,2440,SG,['Secretary General'],[0],0,0
"Having considered the report of the Secretary-General of 13 April 2007 (S/2007/202),",5170,1754,SC,['Security Council'],[0],0,0
"Underscoring the urgency to address outstanding OSCE-ODIHR recommendations to improve the electoral framework and related rulings of the Constitutional Court of Bosnia and Herzegovina and the European Court of Human Rights and emphasizing electoral reforms should be approached in a spirit of consensus and dialogue and should move the country towards modern democratic standards,",5209,2384,OSCE (regional org),['Regional Organizations'],[0],0,0
Recalling the provisions of the resolution of the General Assembly on The right to education in emergency situations (A/RES/64/290) related to children in armed conflict;,5315,1998,UNGA,['United Nations General Assembly'],[0],0,0
"Noting that the above-mentioned Completion Strategies in no way alter the obligation of Rwanda and the countries of the former Yugoslavia to investigate those accused whose cases would not be tried by the ICTR or ICTY and take appropriate action with respect to indictment and prosecution, while bearing in mind the primacy of the ICTY and ICTR over national courts,",5389,1503,Regional stakeholders,['Regional Stakeholders'],[0],0,0
"Taking note of the final report of the Panel of Experts submitted pursuant to paragraph 10 (b) of resolution 2040 (2012) and the findings and recommendations contained therein,",5431,2095,UN orgs,['UN Organizations'],[0],0,0
"Taking note of the Peace Agreement and of Bosnia and Herzegovinas leaderships commitment towards a European perspective, including through the submission of Bosnia and Herzegovinas EU membership application in February 2016 and through the implementation of the recommendations in the EU Commissions Opinion issued in May 2019, and recalling that Bosnia and Herzegovinas commitment needs to be translated urgently into comprehensive reform results on the ground,",5456,2496,Conflict parties,['Conflict Parties'],[0],0,0
"Acknowledging the implementation of the guidelines of the Department of Peacekeeping Operations on cooperation and information sharing between the United Nations peacekeeping missions and the Security Councils Sanctions Committees expert panels,",5504,2025,UN orgs,['UN Organizations'],[0],0,0
"Reaffirms the need for UNMIL and the United Nations Operations in Cte dIvoire (UNOCI) to regularly coordinate their strategies and operations in areas near the Liberian-Cte dIvoire border, in order to contribute to subregional security;",5516,2025,PK,['Peacekeeping'],[0],0,0
"Recalling its resolutions 827 (1993) of 25 May 1993, 1581 (2005) of 18 January 2005, 1597 (2005) of 20 April 2005, 1613 (2005) of 26 July 2005, 1629 (2005) of 30 September 2005, 1660 (2006) of 28 February 2006, 1668 (2006) of 10 April 2006, 1800 (2008) of 20 February 2008, 1837 (2008) of 29 September 2008 and 1849 (2008) of 12 December 2008,",5521,1877,SC,['Security Council'],[0],0,0
"Recalling the Convention on the Safety of United Nations and Associated Personnel, and its Optional Protocol,",5566,2286,SC,['Security Council'],[0],0,0
